as_of,store_id,sku_uid,category,size_label,start_stock,days_of_cover,trailing_demand_rate,elapsed_days,p_stockout_7d,p_stockout_14d,p_stockout_28d,expected_days_out,expected_lost_units,expected_lost_revenue,rank_by_risk,rank_by_units,rank_by_revenue
2025-11-27,MAS01,12_1014_BROWN_39,CLOSE,39,16,26.35,0.61,8,0.168,0.4179,0.7691,2.75,1.67,8338.21,1451,1053,655
2025-11-27,MAS01,10_1000_ROSE-GOLD_40,PREMIUM CLOSE,40,13,28.0,0.46,27,0.3167,0.5449,0.8018,4.5,2.09,8328.09,793,853,656
2025-11-27,INS01,18_1056_ANTIC-GOLD_41,GIRLS_OPEN,41,26,24.68,1.05,4,0.0478,0.2309,0.6371,1.13,1.19,8306.63,2163,1348,657
2025-11-27,BHS01,16_1042_BLUE-NAVY_40,OPEN,40,14,15.37,0.91,26,0.445,0.6929,0.9022,6.11,5.57,8296.36,123,201,658
2025-11-27,BHS01,18_1056_GREY_39,GIRLS_OPEN,39,19,31.29,0.61,8,0.1116,0.3188,0.6801,1.95,1.19,8287.96,1862,1351,659
2025-11-27,BHS01,16_1042_BLUE-NAVY_39,OPEN,39,19,15.42,1.23,11,0.3085,0.5824,0.8634,4.51,5.56,8280.76,552,204,660
2025-11-27,MUS01,16_1042_TAN_41,OPEN,41,46,25.76,1.79,15,0.2047,0.4214,0.7276,3.1,5.54,8247.99,1434,209,661
2025-11-27,HYS01,19_1063_MAROON_42,BOYS CLOSE,42,8,26.35,0.3,14,0.2625,0.5074,0.8019,3.88,1.18,8229.43,1018,1355,662
2025-11-27,CHS01,25_1105_BROWN_41,PREMIUM OPEN,41,16,16.29,0.98,21,0.404,0.6556,0.8847,5.62,5.52,8225.21,215,210,663
2025-11-27,BHS01,33_1161_BLUE-NAVY_41,OPEN,41,14,23.06,0.61,14,0.313,0.5712,0.8461,4.53,2.75,8216.11,612,611,664
2025-11-27,KOS01,31_1147_WHITE_40,PREMIUM CLOSE,40,15,20.49,0.73,12,0.2496,0.5012,0.806,3.74,2.74,8184.97,1051,615,665
2025-11-27,MUS01,18_1056_BLACK_38,GIRLS_OPEN,38,27,24.79,1.09,5,0.048,0.2136,0.5984,1.07,1.17,8177.56,2205,1360,666
2025-11-27,BHS01,18_1056_GREY_40,GIRLS_OPEN,40,24,18.41,1.3,1,0.0247,0.218,0.6792,0.9,1.17,8169.18,2187,1362,667
2025-11-27,HYS01,21_1077_MAROON_37,PREMIUM CLOSE,37,5,20.0,0.25,13,0.3237,0.5887,0.8602,4.67,1.17,8166.26,511,1363,668
2025-11-27,CHS01,27_1119_WHITE_42,CLOSE,42,18,21.0,0.86,9,0.2018,0.4587,0.7924,3.18,2.72,8142.69,1273,621,669
2025-11-27,BES01,11_1007_BLACK_40,PREMIUM CLOSE,40,23,28.62,0.8,4,0.0658,0.2823,0.6952,1.45,1.16,8117.38,1991,1366,670
2025-11-27,AHS01,32_1154_MAROON_42,CLOSE,42,8,29.87,0.27,21,0.3013,0.5349,0.8032,4.32,1.16,8090.02,856,1372,671
2025-11-27,CHS01,27_1119_WHITE_39,CLOSE,39,37,32.38,1.14,13,0.1489,0.3438,0.6639,2.36,2.7,8075.97,1779,626,672
2025-11-27,BES01,28_1126_ROSE-GOLD_41,GIRLS_OPEN,41,36,21.68,1.66,5,0.1955,0.5081,0.8569,3.26,5.42,8072.65,1015,216,673
2025-11-27,INS01,10_1000_BROWN_42,PREMIUM CLOSE,42,13,25.1,0.52,18,0.2676,0.4986,0.7819,3.9,2.02,8065.02,1065,881,674
2025-11-27,CHS01,17_1049_MAROON_41,CLOSE,41,27,17.18,1.57,4,0.1044,0.3728,0.7771,2.06,3.24,8062.32,1674,493,675
2025-11-27,MAS01,32_1154_MAROON_41,CLOSE,41,7,28.0,0.25,24,0.3251,0.5594,0.8168,4.61,1.15,8061.54,684,1376,676
2025-11-27,AHS01,14_1028_ROSE-GOLD_38,OPEN,38,16,18.67,0.86,16,0.4583,0.7206,0.9246,6.31,5.4,8053.2,66,217,677
2025-11-27,KOS01,24_1098_MAROON_39,OPEN,39,12,18.67,0.64,8,0.1963,0.4616,0.802,3.13,2.02,8039.85,1257,884,678
2025-11-27,HYS01,28_1126_TAN_38,GIRLS_OPEN,38,26,20.22,1.29,15,0.2879,0.5358,0.819,4.19,5.39,8036.1,852,219,679
2025-11-27,HYS01,19_1063_MAROON_40,BOYS CLOSE,40,26,26.96,0.96,6,0.0575,0.2248,0.5978,1.19,1.15,8022.9,2174,1378,680
2025-11-27,AHS01,10_1000_WHITE_43,PREMIUM CLOSE,43,8,22.4,0.36,18,0.4029,0.6601,0.8911,5.62,2.01,8007.97,201,890,681
2025-11-27,KOS01,11_1007_TAN_44,PREMIUM CLOSE,44,3,18.67,0.16,30,0.5288,0.7714,0.9407,7.13,1.15,8007.19,24,1382,682
2025-11-27,CHS01,28_1126_TAN_39,GIRLS_OPEN,39,43,27.68,1.55,18,0.2335,0.4517,0.7427,3.45,5.37,7994.01,1303,222,683
2025-11-27,HYS01,33_1161_ROSE-GOLD_39,OPEN,39,18,25.2,0.71,16,0.2534,0.4864,0.7785,3.74,2.67,7978.91,1139,642,684
2025-11-27,INS01,11_1007_BLACK_40,PREMIUM CLOSE,40,10,29.47,0.34,15,0.2238,0.4493,0.7519,3.36,1.14,7959.76,1317,1387,685
2025-11-27,MUS01,29_1133_BROWN_43,BOYS CLOSE,43,16,42.67,0.38,41,0.3002,0.513,0.7635,4.25,1.59,7958.24,982,1081,686
2025-11-27,MAS01,11_1007_BLACK_38,PREMIUM CLOSE,38,6,24.0,0.25,19,0.3183,0.5608,0.8263,4.55,1.14,7952.72,672,1389,687
2025-11-27,MUS01,17_1049_MAROON_42,CLOSE,42,36,21.0,1.71,7,0.1029,0.3144,0.6867,1.86,3.19,7949.62,1880,502,688
2025-11-27,KOS01,30_1140_WHITE_39,PREMIUM CLOSE,39,11,32.42,0.34,34,0.3333,0.5595,0.8069,4.69,1.59,7944.96,682,1082,689
2025-11-27,BHS01,32_1154_MAROON_39,CLOSE,39,7,28.0,0.25,20,0.3177,0.5577,0.8222,4.54,1.13,7930.27,694,1392,690
2025-11-27,MAS01,12_1014_ROSE-GOLD_37,CLOSE,37,10,23.33,0.43,15,0.2504,0.4864,0.7821,3.71,1.59,7927.45,1140,1084,691
2025-11-27,PUS01,12_1014_BROWN_42,CLOSE,42,83,24.59,3.38,3,0.0138,0.1151,0.4739,0.47,1.59,7921.4,2479,1086,692
2025-11-27,CHS01,24_1098_MAROON_42,OPEN,42,7,17.82,0.39,14,0.3543,0.6194,0.8755,5.05,1.98,7909.37,355,897,693
2025-11-27,MUS01,14_1028_NAVY_41,OPEN,41,31,28.0,1.11,23,0.3389,0.5779,0.8317,4.79,5.31,7908.22,572,225,694
2025-11-27,BES01,33_1161_BLUE-NAVY_38,OPEN,38,11,21.24,0.52,7,0.3501,0.6642,0.9206,5.11,2.64,7904.97,189,649,695
2025-11-27,COS01,18_1056_GREY_37,GIRLS_OPEN,37,9,33.6,0.27,27,0.2955,0.5176,0.7797,4.22,1.13,7901.43,954,1396,696
2025-11-27,COS01,24_1098_WHITE_41,OPEN,41,9,21.0,0.43,13,0.3193,0.5835,0.857,4.62,1.98,7896.92,547,899,697
2025-11-27,MUS01,18_1056_ANTIC-GOLD_44,GIRLS_OPEN,44,11,29.33,0.38,13,0.196,0.4188,0.7352,3.01,1.13,7893.71,1446,1398,698
2025-11-27,AHS01,10_1000_WHITE_38,PREMIUM CLOSE,38,8,20.36,0.39,8,0.3462,0.6494,0.9102,5.03,1.98,7892.04,238,901,699
2025-11-27,BHS01,17_1049_BROWN_41,CLOSE,41,15,21.54,0.7,14,0.3144,0.5729,0.8472,4.54,3.16,7879.53,602,508,700
2025-11-27,KOS01,11_1007_TAN_37,PREMIUM CLOSE,37,5,20.0,0.25,12,0.3093,0.5771,0.8565,4.51,1.13,7873.15,575,1399,701
2025-11-27,KOS01,10_1000_WHITE_42,PREMIUM CLOSE,42,9,20.16,0.45,12,0.3021,0.5683,0.8511,4.41,1.97,7861.96,625,908,702
2025-11-27,SUS01,17_1049_MAROON_37,CLOSE,37,11,18.67,0.59,27,0.3839,0.6257,0.8603,5.35,3.15,7851.7,323,509,703
2025-11-27,MUS01,13_1021_BROWN_39,OPEN,39,21,18.97,1.11,15,0.3313,0.5889,0.8546,4.75,5.26,7832.3,505,228,704
2025-11-27,INS01,12_1014_BROWN_43,CLOSE,43,12,26.88,0.45,14,0.234,0.4685,0.772,3.5,1.56,7807.05,1237,1099,705
2025-11-27,HYS01,22_1084_NAVY_40,CLOSE,40,23,19.52,1.18,8,0.1612,0.4068,0.7601,2.66,3.13,7800.56,1502,513,706
2025-11-27,PUS01,24_1098_WHITE_38,OPEN,38,8,18.67,0.43,14,0.3158,0.5746,0.8483,4.56,1.95,7800.16,591,909,707
2025-11-27,BHS01,14_1028_WHITE_40,OPEN,40,24,21.0,1.14,19,0.3204,0.5634,0.8282,4.58,5.23,7795.64,658,231,708
2025-11-27,CHS01,25_1105_MAROON_40,PREMIUM OPEN,40,34,24.1,1.41,17,0.252,0.4808,0.7706,3.71,5.23,7793.44,1170,232,709
2025-11-27,HYS01,24_1098_MAROON_38,OPEN,38,10,25.45,0.39,33,0.3542,0.586,0.8281,4.96,1.95,7780.75,530,914,710
2025-11-27,BES01,17_1049_BLACK_38,CLOSE,38,24,29.87,0.8,19,0.2669,0.4947,0.7761,3.89,3.12,7775.52,1089,515,711
2025-11-27,SUS01,24_1098_MAROON_41,OPEN,41,10,19.31,0.52,11,0.2499,0.5085,0.8161,3.76,1.95,7771.68,1010,915,712
2025-11-27,MAS01,18_1056_ANTIC-GOLD_42,GIRLS_OPEN,42,9,29.65,0.3,14,0.2456,0.4845,0.7846,3.66,1.11,7758.84,1150,1411,713
2025-11-27,PUS01,20_1070_ANTIC-GOLD_41,PREMIUM CLOSE,41,20,22.86,0.88,5,0.0591,0.2447,0.6376,1.27,1.11,7750.47,2116,1413,714
2025-11-27,MUS01,27_1119_WHITE_41,CLOSE,41,42,19.76,2.12,4,0.0528,0.2459,0.655,1.22,2.59,7737.92,2114,667,715
2025-11-27,BES01,28_1126_TAN_39,GIRLS_OPEN,39,33,25.32,1.3,7,0.258,0.5592,0.8703,3.97,5.18,7715.13,687,239,716
2025-11-27,AHS01,25_1105_BLACK_43,PREMIUM OPEN,43,22,20.53,1.07,13,0.3363,0.6034,0.8689,4.83,5.18,7712.86,417,240,717
2025-11-27,BHS01,12_1014_BROWN_41,CLOSE,41,48,19.48,2.46,0,0.0118,0.1698,0.6382,0.63,1.54,7703.61,2344,1113,718
2025-11-27,BES01,24_1098_WHITE_39,OPEN,39,9,16.8,0.54,4,0.2164,0.5599,0.8923,3.6,1.93,7689.63,677,927,719
2025-11-27,BES01,32_1154_MAROON_38,CLOSE,38,4,22.4,0.18,18,0.4466,0.7049,0.9149,6.16,1.1,7683.69,105,1418,720
2025-11-27,MUS01,16_1042_ANTIC-GOLD_39,OPEN,39,22,16.65,1.32,12,0.2621,0.5179,0.8179,3.9,5.16,7682.8,951,244,721
2025-11-27,AHS01,19_1063_MAROON_38,BOYS CLOSE,38,8,23.58,0.34,6,0.1973,0.492,0.8386,3.23,1.1,7663.45,1109,1422,722
2025-11-27,BES01,28_1126_ROSE-GOLD_40,GIRLS_OPEN,40,29,19.11,1.52,5,0.205,0.5218,0.8645,3.39,5.14,7657.16,926,247,723
2025-11-27,MAS01,29_1133_BROWN_44,BOYS CLOSE,44,4,14.93,0.27,14,0.4072,0.676,0.9061,5.7,1.53,7615.44,155,1120,724
2025-11-27,KOS01,33_1161_BLUE-NAVY_40,OPEN,40,24,19.76,1.21,5,0.1116,0.3652,0.7579,2.1,2.55,7609.85,1703,680,725
2025-11-27,PUS01,14_1028_ROSE-GOLD_39,OPEN,39,26,19.41,1.34,10,0.2501,0.5166,0.8269,3.78,5.07,7552.35,959,254,726
2025-11-27,SUS01,24_1098_WHITE_38,OPEN,38,8,22.4,0.36,27,0.3795,0.6207,0.857,5.3,1.89,7547.65,346,941,727
2025-11-27,CHS01,32_1154_MAROON_43,CLOSE,43,5,23.33,0.21,19,0.3562,0.606,0.857,5.03,1.08,7537.53,408,1434,728
2025-11-27,MUS01,10_1000_ROSE-GOLD_42,PREMIUM CLOSE,42,20,28.0,0.71,14,0.17,0.3729,0.6871,2.64,1.89,7526.92,1673,943,729
2025-11-27,MAS01,17_1049_MAROON_41,CLOSE,41,8,16.0,0.5,17,0.4367,0.6972,0.9122,6.04,3.02,7519.05,117,533,730
2025-11-27,MAS01,32_1154_MAROON_40,CLOSE,40,5,23.33,0.21,18,0.3531,0.6049,0.858,5.0,1.07,7487.56,413,1435,731
2025-11-27,BHS01,18_1056_BLACK_43,GIRLS_OPEN,43,9,33.6,0.27,19,0.2752,0.5058,0.785,3.99,1.07,7478.74,1029,1436,732
2025-11-27,PUS01,27_1119_WHITE_43,CLOSE,43,10,20.0,0.5,16,0.3521,0.6095,0.865,5.0,2.5,7475.95,387,695,733
2025-11-27,BHS01,22_1084_NAVY_40,CLOSE,40,15,21.54,0.7,15,0.2964,0.5465,0.8265,4.3,3.0,7462.6,780,541,734
2025-11-27,KOS01,24_1098_MAROON_38,OPEN,38,8,23.58,0.34,17,0.3937,0.6527,0.8884,5.51,1.87,7460.86,221,948,735
2025-11-27,KOS01,12_1014_ROSE-GOLD_43,CLOSE,43,14,23.76,0.59,7,0.1494,0.4004,0.7643,2.53,1.49,7449.62,1529,1130,736
2025-11-27,HYS01,20_1070_ANTIC-GOLD_41,PREMIUM CLOSE,41,31,26.3,1.18,5,0.0387,0.1851,0.5583,0.9,1.07,7447.72,2292,1442,737
2025-11-27,CHS01,30_1140_WHITE_42,PREMIUM CLOSE,42,11,18.12,0.61,6,0.1405,0.4007,0.7749,2.46,1.49,7439.88,1525,1133,738
2025-11-27,INS01,25_1105_MAROON_40,PREMIUM OPEN,40,21,20.28,1.04,19,0.3384,0.5852,0.8432,4.81,4.98,7419.18,537,259,739
2025-11-27,KOS01,11_1007_TAN_43,PREMIUM CLOSE,43,4,17.23,0.23,9,0.3095,0.5991,0.8812,4.56,1.06,7400.43,445,1446,740
2025-11-27,CHS01,14_1028_NAVY_40,OPEN,40,36,14.4,2.5,4,0.0996,0.3624,0.7688,1.99,4.97,7398.45,1711,260,741
2025-11-27,BHS01,12_1014_ROSE-GOLD_44,CLOSE,44,7,20.63,0.34,10,0.2959,0.5746,0.863,4.37,1.48,7397.79,592,1138,742
2025-11-27,INS01,24_1098_MAROON_42,OPEN,42,8,19.48,0.41,15,0.3125,0.5664,0.84,4.51,1.85,7390.44,638,959,743
2025-11-27,AHS01,28_1126_TAN_43,GIRLS_OPEN,43,21,23.06,0.91,15,0.3871,0.6515,0.8914,5.44,4.96,7385.73,228,261,744
2025-11-27,HYS01,33_1161_ROSE-GOLD_41,OPEN,41,33,21.74,1.52,6,0.0845,0.2901,0.6741,1.63,2.47,7385.51,1962,708,745
2025-11-27,HYS01,30_1140_WHITE_39,PREMIUM CLOSE,39,14,28.0,0.5,13,0.1921,0.4129,0.73,2.96,1.48,7383.59,1479,1143,746
2025-11-27,HYS01,21_1077_BLUE-NAVY_40,PREMIUM CLOSE,40,37,31.88,1.16,6,0.0413,0.1796,0.5343,0.91,1.06,7375.56,2307,1448,747
2025-11-27,PUS01,13_1021_BROWN_39,OPEN,39,14,15.08,0.93,12,0.3749,0.651,0.8979,5.32,4.94,7362.48,230,263,748
2025-11-27,PUS01,28_1126_ROSE-GOLD_42,GIRLS_OPEN,42,33,26.4,1.25,17,0.2707,0.506,0.7907,3.95,4.94,7361.86,1027,264,749
2025-11-27,MUS01,32_1154_MAROON_37,CLOSE,37,3,16.8,0.18,16,0.4226,0.6855,0.9076,5.87,1.05,7329.89,134,1452,750
2025-11-27,PUS01,21_1077_BLUE-NAVY_38,PREMIUM CLOSE,38,15,35.0,0.43,14,0.1559,0.3501,0.6642,2.45,1.05,7328.54,1755,1453,751
2025-11-27,CHS01,27_1119_WHITE_38,CLOSE,38,15,22.11,0.68,12,0.2398,0.488,0.7963,3.61,2.45,7327.45,1134,716,752
2025-11-27,PUS01,12_1014_ANTIC-GOLD_44,CLOSE,44,18,27.24,0.66,12,0.1375,0.3306,0.657,2.22,1.47,7321.89,1827,1148,753
2025-11-27,MAS01,18_1056_BLACK_44,GIRLS_OPEN,44,4,20.36,0.2,17,0.379,0.6367,0.8793,5.33,1.05,7317.14,285,1454,754
2025-11-27,AHS01,18_1056_ANTIC-GOLD_43,GIRLS_OPEN,43,10,14.36,0.7,1,0.052,0.3304,0.7898,1.5,1.05,7309.95,1828,1455,755
2025-11-27,CHS01,28_1126_BLUE-NAVY_40,GIRLS_OPEN,40,20,20.36,0.98,22,0.3544,0.598,0.8471,4.99,4.91,7309.25,460,266,756
2025-11-27,BHS01,31_1147_WHITE_38,PREMIUM CLOSE,38,14,17.42,0.8,7,0.1864,0.4599,0.8089,3.04,2.44,7304.03,1265,718,757
2025-11-27,BHS01,27_1119_WHITE_42,CLOSE,42,10,20.74,0.48,15,0.3561,0.6174,0.872,5.06,2.44,7291.78,364,721,758
2025-11-27,BES01,24_1098_WHITE_41,OPEN,41,19,38.0,0.5,10,0.2392,0.502,0.817,3.64,1.82,7268.94,1047,977,759
2025-11-27,MUS01,27_1119_WHITE_43,CLOSE,43,6,16.8,0.36,23,0.5015,0.7505,0.9332,6.81,2.43,7268.28,40,724,760
2025-11-27,INS01,20_1070_ANTIC-GOLD_42,PREMIUM CLOSE,42,13,33.09,0.39,15,0.1707,0.3691,0.678,2.64,1.04,7241.74,1689,1463,761
2025-11-27,AHS01,14_1028_WHITE_41,OPEN,41,18,20.57,0.88,12,0.3934,0.6703,0.9076,5.55,4.85,7232.22,171,269,762
2025-11-27,MUS01,28_1126_TAN_40,GIRLS_OPEN,40,72,20.06,3.59,2,0.0507,0.2905,0.7372,1.35,4.85,7225.48,1961,270,763
2025-11-27,AHS01,18_1056_GREY_40,GIRLS_OPEN,40,33,18.3,1.8,0,0.0103,0.1571,0.6188,0.57,1.03,7209.47,2378,1467,764
2025-11-27,SUS01,10_1000_WHITE_39,PREMIUM CLOSE,39,20,23.83,0.84,9,0.1268,0.3363,0.6875,2.14,1.8,7167.84,1807,993,765
2025-11-27,HYS01,17_1049_BLACK_38,CLOSE,38,8,14.0,0.57,10,0.3491,0.6355,0.8961,5.03,2.88,7159.07,287,570,766
2025-11-27,AHS01,20_1070_ANTIC-GOLD_43,PREMIUM CLOSE,43,8,34.46,0.23,18,0.3069,0.5493,0.8204,4.41,1.02,7159.05,760,1475,767
2025-11-27,COS01,17_1049_MAROON_41,CLOSE,41,22,30.8,0.71,22,0.2789,0.5037,0.7765,4.02,2.87,7158.11,1038,571,768
2025-11-27,BHS01,12_1014_ANTIC-GOLD_37,CLOSE,37,18,20.57,0.88,5,0.0816,0.3008,0.699,1.64,1.43,7146.86,1931,1174,769
2025-11-27,SUS01,32_1154_MAROON_40,CLOSE,40,7,18.67,0.38,6,0.1597,0.4335,0.7995,2.72,1.02,7140.4,1385,1480,770
2025-11-27,SUS01,17_1049_MAROON_40,CLOSE,40,19,28.76,0.66,26,0.3043,0.5304,0.7915,4.34,2.87,7137.59,887,574,771
2025-11-27,KOS01,11_1007_TAN_42,PREMIUM CLOSE,42,13,22.06,0.59,5,0.0876,0.3145,0.7125,1.73,1.02,7131.54,1878,1484,772
2025-11-27,BHS01,11_1007_BLACK_43,PREMIUM CLOSE,43,6,28.0,0.21,23,0.3362,0.5746,0.8294,4.76,1.02,7129.55,590,1485,773
2025-11-27,MUS01,17_1049_MAROON_38,CLOSE,38,28,23.4,1.2,11,0.148,0.3558,0.6898,2.39,2.86,7119.85,1737,578,774
2025-11-27,MUS01,32_1154_MAROON_38,CLOSE,38,4,24.89,0.16,24,0.4621,0.7119,0.9136,6.33,1.02,7107.51,89,1487,775
2025-11-27,COS01,28_1126_BLUE-NAVY_40,GIRLS_OPEN,40,19,17.16,1.11,11,0.2925,0.563,0.8518,4.31,4.77,7106.42,661,274,776
2025-11-27,MUS01,17_1049_BLACK_38,CLOSE,38,15,19.53,0.77,12,0.2476,0.4986,0.8041,3.71,2.85,7100.25,1066,579,777
2025-11-27,BHS01,27_1119_ANTIC-GOLD_44,CLOSE,44,5,13.33,0.38,33,0.4628,0.707,0.9073,6.32,2.37,7090.0,99,745,778
2025-11-27,PUS01,31_1147_ANTIC-GOLD_42,PREMIUM CLOSE,42,21,23.52,0.89,10,0.1651,0.3924,0.7314,2.65,2.37,7080.45,1576,746,779
2025-11-27,BHS01,20_1070_ANTIC-GOLD_39,PREMIUM CLOSE,39,10,23.33,0.43,6,0.1333,0.3878,0.7646,2.35,1.01,7050.7,1598,1493,780
2025-11-27,MAS01,31_1147_WHITE_39,PREMIUM CLOSE,39,8,16.0,0.5,13,0.327,0.5926,0.8625,4.71,2.36,7048.57,489,749,781
2025-11-27,CHS01,30_1140_WHITE_43,PREMIUM CLOSE,43,18,28.0,0.64,11,0.1341,0.3318,0.6658,2.19,1.41,7036.47,1822,1184,782
2025-11-27,KOS01,20_1070_ANTIC-GOLD_39,PREMIUM CLOSE,39,8,24.89,0.32,9,0.1979,0.4528,0.7881,3.12,1.0,7019.93,1296,1497,783
2025-11-27,BES01,11_1007_BLACK_37,PREMIUM CLOSE,37,10,35.0,0.29,21,0.2394,0.4518,0.7341,3.51,1.0,7009.72,1302,1499,784
2025-11-27,SUS01,32_1154_MAROON_42,CLOSE,42,4,13.18,0.3,4,0.1929,0.5268,0.876,3.3,1.0,6992.18,903,1501,785
2025-11-27,HYS01,13_1021_WHITE_39,OPEN,39,22,21.24,1.04,22,0.3177,0.5536,0.8155,4.53,4.69,6986.51,725,279,786
2025-11-27,PUS01,30_1140_WHITE_42,PREMIUM CLOSE,42,12,22.4,0.54,9,0.16,0.3937,0.7405,2.61,1.4,6974.96,1568,1194,787
2025-11-27,COS01,17_1049_BLACK_41,CLOSE,41,26,34.67,0.75,31,0.2584,0.463,0.7262,3.72,2.79,6948.12,1253,602,788
2025-11-27,HYS01,17_1049_BROWN_39,CLOSE,39,26,17.33,1.5,5,0.0959,0.3328,0.7296,1.86,2.79,6945.93,1819,603,789
2025-11-27,MUS01,20_1070_ANTIC-GOLD_40,PREMIUM CLOSE,40,14,25.29,0.55,7,0.0982,0.3049,0.677,1.79,0.99,6935.92,1914,1508,790
2025-11-27,BES01,17_1049_BROWN_42,CLOSE,42,28,18.23,1.54,3,0.0826,0.3499,0.773,1.81,2.77,6908.55,1756,606,791
2025-11-27,COS01,17_1049_BROWN_40,CLOSE,40,31,16.07,1.93,3,0.0608,0.2924,0.7217,1.44,2.77,6902.39,1952,607,792
2025-11-27,KOS01,27_1119_WHITE_39,CLOSE,39,38,26.94,1.41,7,0.0879,0.2831,0.6538,1.64,2.31,6898.39,1986,768,793
2025-11-27,INS01,11_1007_TAN_43,PREMIUM CLOSE,43,8,26.35,0.3,14,0.2147,0.441,0.7493,3.25,0.99,6892.47,1352,1513,794
2025-11-27,SUS01,27_1119_WHITE_41,CLOSE,41,30,21.0,1.43,6,0.0836,0.2881,0.672,1.61,2.3,6890.75,1968,772,795
2025-11-27,MUS01,25_1105_BROWN_41,PREMIUM OPEN,41,26,20.8,1.25,14,0.2481,0.488,0.7873,3.69,4.61,6872.82,1133,283,796
2025-11-27,MUS01,17_1049_BLACK_42,CLOSE,42,25,28.0,0.89,17,0.2054,0.4143,0.7126,3.09,2.76,6862.84,1469,610,797
2025-11-27,COS01,18_1056_BLACK_44,GIRLS_OPEN,44,8,29.87,0.27,16,0.248,0.479,0.7726,3.66,0.98,6861.49,1175,1517,798
2025-11-27,MAS01,12_1014_ROSE-GOLD_43,CLOSE,43,7,23.06,0.3,14,0.3131,0.5714,0.8462,4.53,1.37,6859.0,610,1212,799
2025-11-27,INS01,21_1077_BLUE-NAVY_39,PREMIUM CLOSE,39,11,20.53,0.54,5,0.094,0.3288,0.7259,1.83,0.98,6857.48,1833,1518,800
2025-11-27,HYS01,21_1077_MAROON_40,PREMIUM CLOSE,40,8,28.0,0.29,13,0.2275,0.4647,0.7735,3.43,0.98,6854.68,1249,1520,801
2025-11-27,KOS01,31_1147_ANTIC-GOLD_40,PREMIUM CLOSE,40,10,20.0,0.5,11,0.3139,0.5888,0.8672,4.58,2.29,6845.16,509,776,802
2025-11-27,AHS01,28_1126_TAN_41,GIRLS_OPEN,41,23,19.82,1.16,6,0.2532,0.568,0.8815,3.95,4.59,6833.25,628,288,803
2025-11-27,KOS01,17_1049_BROWN_41,CLOSE,41,23,22.6,1.02,9,0.1655,0.4026,0.7482,2.69,2.73,6805.86,1517,616,804
2025-11-27,MUS01,32_1154_MAROON_39,CLOSE,39,11,36.24,0.3,19,0.2156,0.4229,0.7134,3.21,0.97,6804.8,1431,1526,805
2025-11-27,AHS01,16_1042_TAN_39,OPEN,39,17,21.16,0.8,33,0.4108,0.6517,0.8739,5.68,4.56,6799.06,226,289,806
2025-11-27,COS01,17_1049_MAROON_42,CLOSE,42,14,19.6,0.71,10,0.2529,0.5203,0.8294,3.82,2.73,6796.23,938,618,807
2025-11-27,CHS01,18_1056_BLACK_42,GIRLS_OPEN,42,16,28.0,0.57,7,0.0922,0.2923,0.6638,1.7,0.97,6794.84,1953,1527,808
2025-11-27,COS01,31_1147_WHITE_39,PREMIUM CLOSE,39,14,28.0,0.5,31,0.3206,0.5458,0.7984,4.54,2.27,6780.88,784,781,809
2025-11-27,BES01,19_1063_MAROON_37,BOYS CLOSE,37,6,33.6,0.18,15,0.3854,0.6497,0.8904,5.42,0.97,6768.43,232,1530,810
2025-11-27,MUS01,30_1140_WHITE_40,PREMIUM CLOSE,40,12,18.67,0.64,5,0.1125,0.3671,0.7595,2.11,1.36,6767.64,1695,1225,811
2025-11-27,BES01,13_1021_BROWN_39,OPEN,39,28,20.91,1.34,5,0.2048,0.5215,0.8644,3.38,4.53,6752.46,928,292,812
2025-11-27,CHS01,11_1007_TAN_44,PREMIUM CLOSE,44,5,25.45,0.2,22,0.3482,0.5907,0.8421,4.92,0.97,6750.92,494,1533,813
2025-11-27,AHS01,31_1147_ANTIC-GOLD_41,PREMIUM CLOSE,41,17,34.0,0.5,28,0.3179,0.5452,0.8009,4.51,2.25,6738.95,787,787,814
2025-11-27,BES01,22_1084_NAVY_40,CLOSE,40,19,33.25,0.57,15,0.3302,0.5876,0.8537,4.73,2.7,6734.77,522,624,815
2025-11-27,BES01,22_1084_NAVY_38,CLOSE,38,26,30.33,0.86,21,0.2129,0.4135,0.6984,3.15,2.7,6733.48,1475,625,816
2025-11-27,BHS01,12_1014_ROSE-GOLD_43,CLOSE,43,15,33.6,0.45,12,0.1951,0.4236,0.745,3.02,1.35,6719.46,1425,1230,817
2025-11-27,AHS01,27_1119_ANTIC-GOLD_39,CLOSE,39,42,29.77,1.41,5,0.0788,0.2944,0.6925,1.59,2.25,6718.68,1947,791,818
2025-11-27,KOS01,17_1049_BLACK_41,CLOSE,41,16,18.29,0.88,7,0.1895,0.4647,0.8123,3.08,2.7,6715.74,1248,628,819
2025-11-27,SUS01,20_1070_ANTIC-GOLD_41,PREMIUM CLOSE,41,9,21.91,0.41,7,0.1349,0.3751,0.7432,2.33,0.96,6685.84,1660,1541,820
2025-11-27,BHS01,22_1084_NAVY_39,CLOSE,39,18,25.2,0.71,14,0.2529,0.4945,0.7923,3.75,2.68,6674.8,1091,632,821
2025-11-27,CHS01,19_1063_MAROON_41,BOYS CLOSE,41,27,22.91,1.18,3,0.0283,0.1827,0.5906,0.81,0.95,6664.66,2297,1543,822
